sales_price;area;bedrooms;bathrooms;garage;tax;zip_code;latitude;longitude;subway;botafogo_beach;rio_sul;leme_beach;copacabana_beach;santa_marta
1650000.000000;121.000000;3;3;2;1900.000000;22280070;-22.955212;-43.183110;611.833847;1133.059396;639.643295;1602.255096;2012.382089;1306.831613
1066750.000000;85.000000;2;2;1;754.000000;22260000;-22.949266;-43.184175;605.812031;1156.296422;1125.720188;2144.803653;2662.916557;979.791345
1350000.000000;106.000000;3;1;1;1897.000000;22271110;-22.953612;-43.189630;133.851455;464.260947;1329.665330;2253.643326;2219.991872;689.842217
1200000.000000;96.000000;3;2;2;1150.000000;22280080;-22.956673;-43.184553;583.267096;1017.658919;753.565785;1632.829422;1838.441297;1292.528988
950000.000000;72.000000;2;2;1;1000.000000;22280070;-22.955212;-43.183110;611.833847;1133.059396;639.643295;1602.255096;2012.382089;1306.831613
890000.000000;94.000000;3;3;1;1600.000000;22290905;-22.953463;-43.175927;1293.774532;1864.604923;424.931274;1295.402956;2397.329705;1898.085688
1540000.000000;102.000000;3;2;1;0.000000;22260040;-22.946105;-43.188307;759.791035;1078.428268;1668.980422;2687.299908;3026.459514;624.347013
1217600.000000;74.000000;2;2;1;0.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
1899000.000000;156.000000;3;2;1;0.000000;22281036;-22.956109;-43.192422;530.811556;275.079292;1561.583490;2385.519374;2031.561772;836.293805
1880000.000000;130.000000;4;3;2;0.000000;22260040;-22.946105;-43.188307;759.791035;1078.428268;1668.980422;2687.299908;3026.459514;624.347013
1052600.000000;74.000000;2;2;1;0.000000;22260040;-22.946105;-43.188307;759.791035;1078.428268;1668.980422;2687.299908;3026.459514;624.347013
1860000.000000;132.000000;3;2;2;2600.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
2300000.000000;201.000000;4;1;0;1700.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
1199000.000000;81.000000;2;4;1;1142.000000;22281033;-22.953220;-43.193027;459.529341;155.681335;1676.115900;2577.636002;2354.567959;509.358343
1880600.000000;132.000000;3;4;2;0.000000;22280020;-22.953393;-43.188474;51.504289;584.968190;1224.875517;2166.582916;2223.976093;750.341118
1096000.000000;80.000000;2;3;1;0.000000;22290070;-22.955933;-43.177895;1140.780587;1672.601765;147.358696;1163.879957;2066.021221;1810.090189
